MannWhit_P_values,bonferroni_p_Values_corrected,sidak_p_Values_corrected,holm-sidak_p_Values_corrected,holm_p_Values_corrected,simes-hochberg_p_Values_corrected,hommel_p_Values_corrected,fdr_bh_p_Values_corrected,fdr_by_p_Values_corrected,fdr_tsbh_p_Values_corrected,fdr_tsbky_p_Values_corrected
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
3.4559673098525044e-08,0.0007545759024331958,0.0007542912951997716,0.0006963076890443842,0.0006965502113007722,0.0006965156516276738,0.0006269470296803428,4.4888512934752873e-07,4.744025535850183e-06,1.9841487511830172e-07,2.1075335686135932e-07
8.08718351040838e-05,1.0,0.8289547352661415,0.7406463965002223,1.0,0.5,0.5,0.00034249846848263517,0.0036196821285502125,0.00015139015843757038,0.00016080439567581596
4.945441013106286e-12,1.0797875908016266e-07,1.0797978922116869e-07,1.0634283276189649e-07,1.0634181810482447e-07,1.0634181810482447e-07,1.0416582405905771e-07,3.2444039785836807e-10,3.4288360911815192e-09,1.434081835545988e-10,1.5232605956333289e-10
4.284526843386331e-07,0.009354835909849715,0.009311217544012096,0.00827626011196203,0.008310696718116465,0.008310696718116465,0.006995775429881201,3.837094302645494e-06,4.0552186216715646e-05,1.6960610568302493e-06,1.801531064420828e-06
0.33599624718010634,1.0,1.0,1.0,1.0,0.5,0.5,0.3750674802303718,1.0,0.16578621652941825,0.17609567646622587
0.0031393951584494663,1.0,1.0,1.0,1.0,0.5,0.5,0.00794754849201113,0.08399336607187605,0.003512951841000248,0.003731405684889617
1.111846830928412e-09,2.427606370649095e-05,2.4275769187398488e-05,2.3183961502137862e-05,2.3184230118519248e-05,2.3184230118519248e-05,2.198565923477842e-05,2.459736435392556e-08,2.599563161721305e-07,1.0872454125663441e-08,1.1548560575100486e-08
0.02868301608637722,1.0,1.0,1.0,1.0,0.5,0.5,0.05113565398202113,0.540425227798745,0.02260283029131107,0.02400839330025629
0.013944459793964204,1.0,1.0,1.0,1.0,0.5,0.5,0.02793463542262579,0.295226139418404,0.012347584797277709,0.013115422639582779
0.26740727921277335,1.0,1.0,1.0,1.0,0.5,0.5,0.31450046854665237,1.0,0.13901456544580662,0.14765922314472912
0.15272388660799574,1.0,1.0,1.0,1.0,0.5,0.5,0.20202939001621248,1.0,0.08930043249273914,0.09485360362117325
