Gene,Log2_FoldChange,MannWhit_P_values,bonferroni_p_Values_corrected,sidak_p_Values_corrected,holm-sidak_p_Values_corrected,holm_p_Values_corrected,simes-hochberg_p_Values_corrected,hommel_p_Values_corrected,fdr_bh_p_Values_corrected,fdr_by_p_Values_corrected,fdr_tsbh_p_Values_corrected,fdr_tsbky_p_Values_corrected
Gchfr,0.012023602757,0.0167241411686,1.0,1.0,1.0,1.0,0.5,0.5,0.0324989128629,0.343463533161,0.0143650731904,0.0152583690847
Psmb4,0.0088624758988,0.0550902297745,1.0,1.0,1.0,1.0,0.5,0.5,0.0881978991733,0.932116166322,0.0389849741193,0.0414092650962
Rplp2,0.0139770416431,0.0134396276371,1.0,1.0,1.0,1.0,0.5,0.5,0.0271046931286,0.286454925629,0.011980736163,0.0127257614255
Uqcrh,0.0104305867597,0.000654130621811,1.0,0.999999375904,0.999943677456,1.0,0.5,0.5,0.00207379548707,0.0219168292813,0.000916652937884,0.00097365524445
Prdx5,0.000278091818128,0.478895579355,1.0,1.0,1.0,1.0,0.5,0.5,0.485861357145,1.0,0.214758997793,0.228113843148
Mpa2l,-0.0783184070064,0.000226251743215,1.0,0.992849260387,0.972502338549,1.0,0.5,0.5,0.000829134031782,0.00876267169985,0.000366491368541,0.000389281731698
Pou2f2,0.0087998361742,0.13950111321,1.0,1.0,1.0,1.0,0.5,0.5,0.187944782583,1.0,0.0830747960388,0.0882408243098
Stx2,-0.0242231222356,4.86636619457e-05,1.0,0.654425921386,0.563745956034,0.829510355317,0.5,0.411182518417,0.000221703017818,0.00234305997045,9.79965111737e-05,0.000104090450266
Pou1f1,-0.0201494255055,0.00523780823258,1.0,1.0,1.0,1.0,0.5,0.5,0.0122703917862,0.12967917216,0.0054237222281,0.00576099783635
Pax8,-0.0387545298048,1.23676966191e-06,0.0270036287981,0.0266423068544,0.0232283192027,0.0235023338852,0.0234998603459,0.0188928933553,9.52637976273e-06,0.000100679184727,4.21082216223e-06,4.47267325752e-06
Cebpd,0.0321399591064,0.000188559626749,1.0,0.98371318005,0.951321541093,1.0,0.5,0.5,0.000708242024849,0.00748502909047,0.000313055041761,0.000332522452736
Flt3,-0.00261387794358,0.416170036157,1.0,1.0,1.0,1.0,0.5,0.5,0.439778280839,1.0,0.194389492918,0.206477655199
Tcf7,-0.00349945531978,0.254893754551,1.0,1.0,1.0,1.0,0.5,0.5,0.30285355524,1.0,0.133866431328,0.142190950939
Gabpb1,0.0249259757648,4.6851745826e-06,0.102296101837,0.0972380137935,0.0825082620409,0.0861115023667,0.0860994533045,0.0635731339113,2.9582447032e-05,0.000312640974177,1.30759456034e-05,1.38890767561e-05
Gabpa,-0.00970261325751,0.0192743645779,1.0,1.0,1.0,1.0,0.5,0.5,0.0367042214291,0.387907177915,0.0162238912253,0.017232778213
Cpe,0.0287793594459,0.000137637980212,1.0,0.950480784505,0.893783627187,1.0,0.5,0.5,0.000540179180926,0.00570886327193,0.000238768401352,0.000253616277849
Xdh,-0.00966518813444,0.0299693860533,1.0,1.0,1.0,1.0,0.5,0.5,0.0529463622289,0.559561629518,0.0234031941866,0.0248585280371
Hmmr,-0.0251164835184,0.00531076748291,1.0,1.0,1.0,1.0,0.5,0.5,0.012421050964,0.13127140799,0.00549031615157,0.00583173292065
F8a,0.0135630012005,0.0348469273756,1.0,1.0,1.0,1.0,0.5,0.5,0.060115118158,0.635324355803,0.026571906446,0.0282242875105
Il6st,-0.00482443139748,0.0204334400203,1.0,1.0,1.0,1.0,0.5,0.5,0.0385082884872,0.406973392482,0.017021319602,0.0180797948853
Cd80,-0.0257422321303,0.000156852079064,1.0,0.967449967397,0.920890851425,1.0,0.5,0.5,0.000604045780663,0.00638383501912,0.000266998526572,0.000283601900909
G6pdx,0.00963212979001,0.298318116075,1.0,1.0,1.0,1.0,0.5,0.5,0.341969928704,1.0,0.15115653485,0.160556244144
Apoa1,-0.000385027658571,0.486565711518,1.0,1.0,1.0,1.0,0.5,0.5,0.49113292801,1.0,0.21708912193,0.230588866675
Itga4,-0.0268280553148,0.000107806923023,1.0,0.90500996118,0.830667554711,1.0,0.5,0.5,0.000437950931529,0.00462846787917,0.000193581773389,0.000205619707417
Sele,0.00434759666542,0.174062424576,1.0,1.0,1.0,1.0,0.5,0.5,0.224401893524,1.0,0.0991894602179,0.105357583164
Rbp4,0.00824852866006,8.29952678693e-06,0.181211867866,0.165742039971,0.139461703642,0.150196536263,0.150196536263,0.104507641301,4.8359886873e-05,0.000511089637943,2.13758939366e-05,2.27051595822e-05
Vegfa,-0.0121072305246,0.00296027714972,1.0,1.0,1.0,1.0,0.5,0.5,0.00756538670347,0.0799545036433,0.00334402981933,0.0035519792024
Col8a1,-0.014242816022,0.0744454288263,1.0,1.0,1.0,1.0,0.5,0.5,0.11323044434,1.0,0.0500497855787,0.0531621447969
Serpina1c,0.00251168181832,0.256444572733,1.0,1.0,1.0,1.0,0.5,0.5,0.304292793699,1.0,0.134502599248,0.14286667913
Serpina1d,0.0321409804935,0.004127917341,1.0,1.0,1.0,1.0,0.5,0.5,0.0100570460298,0.106287511128,0.00444538569359,0.00472182318442
Serpina1e,0.00451559125233,0.0391156330697,1.0,1.0,1.0,1.0,0.5,0.5,0.0661755758174,0.699374073683,0.0292507319875,0.0310696965302
Yy1,0.00546606383884,0.0277375461459,1.0,1.0,1.0,1.0,0.5,0.5,0.0497385998174,0.525660513625,0.021985308548,0.0233524708033
Rbp1,-0.020955741459,0.0352214589651,1.0,1.0,1.0,1.0,0.5,0.5,0.0606357576561,0.640826714675,0.0268020379747,0.0284687298295
Csf2ra,-0.0507570627406,1.62434527231e-11,3.54659546757e-07,3.54659446922e-07,3.47869686723e-07,3.47869783519e-07,3.47869783519e-07,3.39114562501e-07,8.46442832356e-10,8.94559910499e-09,3.74142153296e-10,3.97408282537e-10
Axl,-0.0324051083729,0.000151178843492,1.0,0.96315695449,0.913579920198,1.0,0.5,0.5,0.000584736734953,0.0061797680988,0.000258463599388,0.000274536227009
Gm11744,-0.057244875961,1.01789254647e-09,2.22246658596e-05,2.22244189388e-05,2.12391203647e-05,2.12393458746e-05,2.12373100895e-05,2.01542724201e-05,2.28698262869e-08,2.41698895357e-07,1.01088528669e-08,1.07374745691e-08
Hnrnpul2,0.00487335812822,0.205324216465,1.0,1.0,1.0,1.0,0.5,0.5,0.255775250045,1.0,0.113057018328,0.120087499061
Pde4d,-0.0135675578029,0.0333908160623,1.0,1.0,1.0,1.0,0.5,0.5,0.0579834803366,0.612796221996,0.0256296862109,0.0272234750597
