Gene,Log2_FoldChange,MannWhit_P_values,bonferroni_p_Values_corrected,sidak_p_Values_corrected,holm-sidak_p_Values_corrected,holm_p_Values_corrected,simes-hochberg_p_Values_corrected,hommel_p_Values_corrected,fdr_bh_p_Values_corrected,fdr_by_p_Values_corrected,fdr_tsbh_p_Values_corrected,fdr_tsbky_p_Values_corrected
Igh,0.0369837767388,3.45596730985e-08,0.000754575902433,0.0007542912952,0.000696307689044,0.000696550211301,0.000696515651628,0.00062694702968,4.48885129348e-07,4.74402553585e-06,1.98414875118e-07,2.10753356861e-07
Hcfc2,0.0196136827958,8.08718351041e-05,1.0,0.828954735266,0.7406463965,1.0,0.5,0.5,0.000342498468483,0.00361968212855,0.000151390158438,0.000160804395676
Ccdc112,0.0776470415334,4.94544101311e-12,1.0797875908e-07,1.07979789221e-07,1.06342832762e-07,1.06341818105e-07,1.06341818105e-07,1.04165824059e-07,3.24440397858e-10,3.42883609118e-09,1.43408183555e-10,1.52326059563e-10
EG635895,0.0657438203967,4.28452684339e-07,0.00935483590985,0.00931121754401,0.00827626011196,0.00831069671812,0.00831069671812,0.00699577542988,3.83709430265e-06,4.05521862167e-05,1.69606105683e-06,1.80153106442e-06
Srp72,0.000394232832318,0.33599624718,1.0,1.0,1.0,1.0,0.5,0.5,0.37506748023,1.0,0.165786216529,0.176095676466
Ceacam15,-0.0297649895288,0.00313939515845,1.0,1.0,1.0,1.0,0.5,0.5,0.00794754849201,0.0839933660719,0.003512951841,0.00373140568489
4930578N16Rik,0.0543665620624,1.11184683093e-09,2.42760637065e-05,2.42757691874e-05,2.31839615021e-05,2.31842301185e-05,2.31842301185e-05,2.19856592348e-05,2.45973643539e-08,2.59956316172e-07,1.08724541257e-08,1.15485605751e-08
Ccdc64,0.012452836059,0.0286830160864,1.0,1.0,1.0,1.0,0.5,0.5,0.051135653982,0.540425227799,0.0226028302913,0.0240083933003
Aspg,0.0114512510496,0.013944459794,1.0,1.0,1.0,1.0,0.5,0.5,0.0279346354226,0.295226139418,0.0123475847973,0.0131154226396
Efcab5,-0.0048060045977,0.267407279213,1.0,1.0,1.0,1.0,0.5,0.5,0.314500468547,1.0,0.139014565446,0.147659223145
Bclp2,-0.00701587365879,0.152723886608,1.0,1.0,1.0,1.0,0.5,0.5,0.202029390016,1.0,0.0893004324927,0.0948536036212
Sprr2e,0.0553867035682,0.000148348062239,1.0,0.960807577981,0.909698730171,1.0,0.5,0.5,0.000575457837605,0.00608170442263,0.000254362168669,0.000270179747731
3110006E14Rik,-0.00032021495996,0.410550085866,1.0,1.0,1.0,1.0,0.5,0.5,0.435376260455,1.0,0.192443724908,0.204410889089
Krtap2-4,0.00268341820401,0.377242370358,1.0,1.0,1.0,1.0,0.5,0.5,0.408830590877,1.0,0.180710086679,0.191947591448
Olfr239,0.00661177303707,0.191916099772,1.0,1.0,1.0,1.0,0.5,0.5,0.242569458702,1.0,0.107219833559,0.113887327406
Olfr1436,0.0161250391696,0.212234723435,1.0,1.0,1.0,1.0,0.5,0.5,0.262433542852,1.0,0.116000097191,0.123213594065
Zdhhc22,-0.00668316690326,0.256448277771,1.0,1.0,1.0,1.0,0.5,0.5,0.304292793699,1.0,0.134502599248,0.14286667913
Oscp1,0.047933028188,1.67830496575e-09,3.66441106222e-05,3.66434386919e-05,3.48762467859e-05,3.48768554933e-05,3.48768554933e-05,3.29468047827e-05,3.47483782844e-08,3.67236923509e-07,1.53593752323e-08,1.63145020633e-08
Veph1,-0.018919014727,0.000516027397575,1.0,0.999987248354,0.999607128423,1.0,0.5,0.5,0.00169471336539,0.0179105141955,0.00074909218143,0.000795674677823
Isx,0.0254159869731,0.000581651085122,1.0,0.999996959427,0.999846081398,1.0,0.5,0.5,0.00187926597213,0.0198609514496,0.000830667577951,0.000882322862057
Pglyrp3,0.00247630238502,0.322077787543,1.0,1.0,1.0,1.0,0.5,0.5,0.36305271997,1.0,0.160475487791,0.17045469865
Tcf3,0.0199219607558,4.67533290697e-05,1.0,0.639706409539,0.549839755628,0.798133008035,0.5,0.401401853542,0.000214042970173,0.00226210504622,9.46106396054e-05,0.000100494027374
Tbc1d25,0.00148068382291,0.463580624326,1.0,1.0,1.0,1.0,0.5,0.5,0.475114653928,1.0,0.210008771872,0.223068223166
Odam,-0.0619724681287,1.07250705339e-12,2.34171190037e-08,2.3416428574e-08,2.31933536821e-08,2.31940375366e-08,2.31940375366e-08,2.28175875609e-08,1.11178106719e-10,1.17498162184e-09,4.9142617383e-11,5.21985641059e-11
Fscb,-0.0199165802087,0.0103276672313,1.0,1.0,1.0,1.0,0.5,0.5,0.0217260127496,0.229610545188,0.00960326779547,0.0102004495556
4933429F08Rik,-0.078361862933,1.17945972798e-09,2.57523237007e-05,2.5751992654e-05,2.4583177456e-05,2.45834791103e-05,2.45822996505e-05,2.33014063859e-05,2.58519850861e-08,2.73215727995e-07,1.14270178651e-08,1.2137610008e-08
Faim3,0.00472482091755,0.316914419625,1.0,1.0,1.0,1.0,0.5,0.5,0.358666264,1.0,0.158536599517,0.168395240094
Srcrb4d,-0.0104293267299,0.0636042719331,1.0,1.0,1.0,1.0,0.5,0.5,0.0993300671987,1.0,0.0439055820525,0.0466358623415
Olfr282,-0.0193824161936,0.008960145991,1.0,1.0,1.0,1.0,0.5,0.5,0.0193259439192,0.204245508401,0.00854239648093,0.00907360767645
Mpeg1,-0.0625992074734,1.64711427205e-05,0.35963093016,0.302068202253,0.252889087159,0.291539226154,0.291522755011,0.18556389389,8.69513854353e-05,0.000918942432961,3.84339938095e-05,4.08240219293e-05
Krt24,0.0283528490033,0.000534388902648,1.0,0.999991461848,0.999697512537,1.0,0.5,0.5,0.00174492512562,0.0184411752872,0.000771286634944,0.000819249299328
Papolb,0.0441567683345,3.83810760286e-08,0.000838012414008,0.000837661394767,0.000772466093027,0.00077276458476,0.00077276458476,0.000693968235673,4.91467990274e-07,5.19406089326e-06,2.17237225159e-07,2.30746179742e-07
Mzf1,0.0299332568624,0.000911028667944,1.0,0.999999997723,0.999998388463,1.0,0.5,0.5,0.00275665923766,0.0291336490387,0.00121849035004,0.0012942624963
Eif2c1,0.0132535415528,0.0059282262862,1.0,1.0,1.0,1.0,0.5,0.5,0.0136231916986,0.143976186941,0.00602168283791,0.0063961427856
Fam71e1,0.0277928980692,0.00357755763626,1.0,1.0,1.0,1.0,0.5,0.5,0.00887766597025,0.0938232775117,0.0039240796134,0.00416809954708
Polr1c,0.0178607786007,0.00121815238133,1.0,0.999999999997,0.999999973971,1.0,0.5,0.5,0.00353491945706,0.0373586627738,0.00156249462673,0.00165965877037
Kcnh8,0.0129037886916,0.00546103555697,1.0,1.0,1.0,1.0,0.5,0.5,0.0127128398393,0.134355167698,0.00561929180585,0.00596872896027
Slc9a6,-0.00474212876454,0.429354664718,1.0,1.0,1.0,1.0,0.5,0.5,0.449575038065,1.0,0.198719826526,0.211077271753
Fam65c,-0.0110942531637,0.0363564436001,1.0,1.0,1.0,1.0,0.5,0.5,0.0622441200394,0.657824631778,0.0275129615508,0.0292238623771
Fcrl6,0.0156202182049,0.00895981006693,1.0,1.0,1.0,1.0,0.5,0.5,0.0193259439192,0.204245508401,0.00854239648093,0.00907360767645
Nlrp1b,-0.0717866638779,1.30354495287e-13,2.84616005009e-09,2.84584755761e-09,2.83346524022e-09,2.83364601855e-09,2.83364601855e-09,2.8073144105e-09,2.93418561865e-11,3.10098298913e-10,1.29696003507e-11,1.37761183955e-11
Pkd2l1,0.0394136013325,9.08305614168e-05,1.0,0.862383514158,0.778617844437,1.0,0.5,0.5,0.000378249606608,0.00399751668156,0.000167192770604,0.00017758969748
Sfrs17b,0.00255854478079,0.341282296281,1.0,1.0,1.0,1.0,0.5,0.5,0.3795463996,1.0,0.167765975201,0.178198546957
Slc25a43,0.030181634411,2.87988457179e-05,0.628793997406,0.466770332552,0.393878696574,0.500667932806,0.5,0.289485997157,0.000141112290772,0.00149133991544,6.23740367426e-05,6.62527827949e-05
Pax6,-0.00406821262652,0.454033863946,1.0,1.0,1.0,1.0,0.5,0.5,0.468121848008,1.0,0.206917832515,0.219785072923
Cul4b,-0.0286365820041,2.98473244857e-06,0.065168648282,0.063090649234,0.0540342716052,0.0555488556003,0.0555399014029,0.042478712208,2.01774039715e-05,0.000213244131805,8.91875633091e-06,9.47337156374e-06
Tox2,0.00504759747895,0.10812982525,1.0,1.0,1.0,1.0,0.5,0.5,0.153007163747,1.0,0.0676317732583,0.0718374730532
Zmynd8,-0.00303464401075,0.177795663056,1.0,1.0,1.0,1.0,0.5,0.5,0.228336382603,1.0,0.100928571426,0.107204841464
Rhox7,0.0158458129598,0.0192794857201,1.0,1.0,1.0,1.0,0.5,0.5,0.0367042214291,0.387907177915,0.0162238912253,0.017232778213
Gm11564,-0.0122409268485,0.14601126274,1.0,1.0,1.0,1.0,0.5,0.5,0.194911309074,1.0,0.0861541194408,0.0915116362559
Gm11565,-0.00421499962234,0.235231506553,1.0,1.0,1.0,1.0,0.5,0.5,0.284272940136,1.0,0.125653482882,0.133467278111
Dhx8,-0.00313216252609,0.198551852503,1.0,1.0,1.0,1.0,0.5,0.5,0.249026478202,1.0,0.110073946191,0.116918923789
Rpl27,-0.00526796020373,0.0348510197693,1.0,1.0,1.0,1.0,0.5,0.5,0.060115118158,0.635324355803,0.026571906446,0.0282242875105
Zfp334,-0.00694174975788,0.166750928986,1.0,1.0,1.0,1.0,0.5,0.5,0.216773789444,1.0,0.0958177082498,0.101776157903
Cyth1,-0.00490804988847,0.308401011135,1.0,1.0,1.0,1.0,0.5,0.5,0.350934978427,1.0,0.155119239571,0.164765370711
Pgap3,-0.00661586721757,0.235231506553,1.0,1.0,1.0,1.0,0.5,0.5,0.284272940136,1.0,0.125653482882,0.133467278111
Krtap1-3,0.0107267526637,0.0529782654919,1.0,1.0,1.0,1.0,0.5,0.5,0.0853046832299,0.901539322896,0.0377061233787,0.0400508886824
Krtap1-5,0.0325615042623,0.000168842895322,1.0,0.974948636768,0.934222056425,1.0,0.5,0.5,0.000644295753513,0.00680921533701,0.000284789700337,0.000302499423543
Krtap3-1,0.0352036391432,5.88645592183e-07,0.0128524878597,0.0127702510804,0.0112907523844,0.0113549734732,0.011353796182,0.00944540717216,5.04612793864e-06,5.33298125355e-05,2.23047452303e-06,2.36917717405e-06
Meox1,0.0164822342314,0.0177507615661,1.0,1.0,1.0,1.0,0.5,0.5,0.034174446598,0.361171348158,0.0151056876485,0.0160450388496
Zfp385c,-0.00826442338691,0.242698699866,1.0,1.0,1.0,1.0,0.5,0.5,0.291292606287,1.0,0.12875629492,0.136763039339
Kcnh4,-0.0066705036899,0.235236708731,1.0,1.0,1.0,1.0,0.5,0.5,0.284272940136,1.0,0.125653482882,0.133467278111
Wfdc11,0.0101034889403,0.0309610318274,1.0,1.0,1.0,1.0,0.5,0.5,0.0543417428583,0.574308656999,0.0240199761988,0.0255136648027
R3hdml,0.0145683374999,0.0519481449781,1.0,1.0,1.0,1.0,0.5,0.5,0.0838873168197,0.886559939522,0.0370796232769,0.0393854295052
Zfp335,0.0247142679134,3.26917418073e-08,0.00071379149062,0.000713536812663,0.000659175090619,0.000659392432253,0.000659392432253,0.000594172407347,4.28070561215e-07,4.52404755867e-06,1.89214481372e-07,2.00980834185e-07
L3mbtl,-0.00334263403504,0.215022474519,1.0,1.0,1.0,1.0,0.5,0.5,0.265131503786,1.0,0.117192641891,0.124480297474
Arfgef2,-0.00832782669821,0.011431317562,1.0,1.0,1.0,1.0,0.5,0.5,0.0236916362268,0.250384162668,0.010472106862,0.0111233176104
Znfx1,-0.0222809876376,0.000185079175117,1.0,0.982427018699,0.948661530491,1.0,0.5,0.5,0.00069705964826,0.00736684856583,0.000308112240788,0.00032727228237
Krtap17-1,-0.0117827413699,0.0654248346084,1.0,1.0,1.0,1.0,0.5,0.5,0.101682333916,1.0,0.0449453240186,0.0477402609381
1700081L11Rik,-0.00182584627957,0.280226646637,1.0,1.0,1.0,1.0,0.5,0.5,0.326440196482,1.0,0.144292128618,0.153264972986
Mapt,0.0372499909398,1.61259018055e-07,0.00352092940021,0.00351473847899,0.00317594163979,0.00318099539015,0.00318099539015,0.00275914179892,1.66448785431e-06,1.75910770233e-05,7.35731990564e-07,7.81483679937e-07
Smurf2,-0.0158290797858,0.00209993935347,1.0,1.0,1.0,1.0,0.5,0.5,0.00562568164964,0.0594548040414,0.00248664713752,0.00264127995066
Bptf,-0.00188948390696,0.253354031183,1.0,1.0,1.0,1.0,0.5,0.5,0.301544871786,1.0,0.133287970945,0.141576518843
Tanc2,0.0244143572918,1.09969397218e-05,0.240107181886,0.213457485093,0.179071612128,0.197318314109,0.197262981864,0.132974995116,6.15864260307e-05,0.000650873817487,2.72222495934e-05,2.89150724194e-05
Fam171a2,-0.0659854814452,5.95604183279e-13,1.30044217377e-08,1.30050868963e-08,1.29008508321e-08,1.29001910056e-08,1.29001910056e-08,1.27191273339e-08,7.38887598734e-11,7.80890568064e-10,3.26600907547e-11,3.46910671785e-11
Gpatch8,0.0150327267734,2.65579578543e-05,0.579866451792,0.44003116689,0.370329541023,0.462552536967,0.462533393991,0.272112836176,0.000131221192983,0.00138680622203,5.80020029989e-05,6.16088729709e-05
4933407P14Rik,0.000916774527494,0.438819897701,1.0,1.0,1.0,1.0,0.5,0.5,0.456704390727,1.0,0.20187112187,0.214424531236
Fbxo47,0.0534701258021,7.43987040265e-08,0.00162442130372,0.00162310270476,0.00148263322036,0.0014837333544,0.0014836589557,0.00131574108071,8.57788152801e-07,9.06550169562e-06,3.79156978231e-07,4.02734955693e-07
Calcoco2,0.0248132211489,0.000162750691107,1.0,0.971383957395,0.927670386543,1.0,0.5,0.5,0.000622857629943,0.00658264733774,0.000275313684464,0.000292434139104
Cdc27,-0.0100895410945,0.0173313957172,1.0,1.0,1.0,1.0,0.5,0.5,0.0334952265977,0.353993037238,0.0148054608361,0.0157261423531
Cdr2l,0.010149552729,0.0470294589674,1.0,1.0,1.0,1.0,0.5,0.5,0.0772821621678,0.816753612049,0.0341600323844,0.0362842830772
Zfp69,-0.0126523535627,0.0499337336411,1.0,1.0,1.0,1.0,0.5,0.5,0.0812215598822,0.858386988009,0.0359013132923,0.038133846001
Zmym4,0.00868641111244,0.124095450916,1.0,1.0,1.0,1.0,0.5,0.5,0.171132494686,1.0,0.0756434783465,0.0803473881517
2610305D13Rik,0.0146950527757,0.313502064232,1.0,1.0,1.0,1.0,0.5,0.5,0.355680446943,1.0,0.157216817507,0.166993387088
Gm13251//Gm13251,-0.0160846006725,0.0897391666144,1.0,1.0,1.0,1.0,0.5,0.5,0.131851723459,1.0,0.0582807082122,0.0619049095419
Gm13154,-0.00429336199164,0.45403547311,1.0,1.0,1.0,1.0,0.5,0.5,0.468121848008,1.0,0.206917832515,0.219785072923
H6pd,0.0124027049662,0.000226164364132,1.0,0.992835601842,0.972502338549,1.0,0.5,0.5,0.000829134031782,0.00876267169985,0.000366491368541,0.000389281731698
Prdm2,0.0130735243333,0.0050963310478,1.0,1.0,1.0,1.0,0.5,0.5,0.0119919487119,0.126736457045,0.00530064564526,0.00563026770349
Rlf,-0.00160896267124,0.293326097276,1.0,1.0,1.0,1.0,0.5,0.5,0.33774453376,1.0,0.149288838294,0.158572404381
Clcn6,0.0126890846817,0.0474970927632,1.0,1.0,1.0,1.0,0.5,0.5,0.0779167222718,0.823459936542,0.0344405187618,0.0365822115744
Mthfr,0.0325001556414,3.57873858984e-06,0.0781381783706,0.0751635040123,0.0641263290384,0.0662746599453,0.0662675024681,0.050012871793,2.35414087354e-05,0.0002487964891,1.04057037513e-05,1.10527852046e-05
Mycbp,-0.00383734174776,0.220701133732,1.0,1.0,1.0,1.0,0.5,0.5,0.270635440558,1.0,0.119625475718,0.127064417719
Ermap,-0.0112095341555,0.0151899537285,1.0,1.0,1.0,1.0,0.5,0.5,0.0299619387061,0.316651617602,0.0132436873891,0.0140672496092
Lepre1,0.0128080827878,0.0121671023795,1.0,1.0,1.0,1.0,0.5,0.5,0.0249833232264,0.264035307939,0.0110430545231,0.0117297698036
Rnf19b,-0.0423865633557,1.61712702265e-08,0.000353083514125,0.00035302119001,0.000328950379075,0.000329004492758,0.000328988321488,0.000300704769862,2.36307115659e-07,2.49740282691e-06,1.04451771239e-07,1.10947132394e-07
Yars,-0.000773184561889,0.330751371978,1.0,1.0,1.0,1.0,0.5,0.5,0.370536033933,1.0,0.163783240061,0.173968144374
C77080,-0.00735977585914,0.0654225780014,1.0,1.0,1.0,1.0,0.5,0.5,0.101682333916,1.0,0.0449453240186,0.0477402609381
Rere,-0.0143412183536,2.07022516307e-05,0.452012962104,0.363657056107,0.304728242447,0.363448729628,0.363448729628,0.22352611844,0.000105424604812,0.00111417595424,4.65994715143e-05,4.94972720354e-05
OTTMUSG00000009332,-0.0494820821571,1.67729917665e-11,3.66221502229e-07,3.66222213444e-07,3.59177544484e-07,3.59176845687e-07,3.59143299703e-07,3.50085884149e-07,8.65771872881e-10,9.14987733976e-09,3.8268591853e-10,4.06483344082e-10
Cd300c,0.00805735480569,0.247238395828,1.0,1.0,1.0,1.0,0.5,0.5,0.295777258817,1.0,0.130738587746,0.138868601572
Miip,-0.0176799270933,0.0717820803404,1.0,1.0,1.0,1.0,0.5,0.5,0.109803921845,1.0,0.0485352042559,0.051553378832
Rab3b,0.0765569676394,3.41802146857e-11,7.46290807448e-07,7.46290518716e-07,7.29405505329e-07,7.29405781393e-07,7.29405781393e-07,7.08795111938e-07,1.50538630696e-09,1.59096183291e-08,6.65406395918e-10,7.06784869497e-10
1700012P22Rik,0.0712362118396,1.25121333062e-10,2.73189918608e-06,2.73189599298e-06,2.64819002982e-06,2.64819301426e-06,2.64806789293e-06,2.55535298513e-06,4.07138477806e-09,4.30282762573e-08,1.79962143872e-09,1.91153137618e-09
6330545A04Rik,0.0373268340718,4.67356175832e-05,1.0,0.639567046009,0.549826759761,0.798104141468,0.5,0.401318748187,0.000214042970173,0.00226210504622,9.46106396054e-05,0.000100494027374
Sfrs4,-0.00787528059396,0.0299686365165,1.0,1.0,1.0,1.0,0.5,0.5,0.0529463622289,0.559561629518,0.0234031941866,0.0248585280371
H3f3a,0.00520756053022,0.0578270588951,1.0,1.0,1.0,1.0,0.5,0.5,0.091811809476,0.970309640865,0.0405823840457,0.0431060103834
Trim47,0.00737453138669,0.115449956743,1.0,1.0,1.0,1.0,0.5,0.5,0.16139010166,1.0,0.0713371746416,0.0757732958064
Itgb4,0.0261852149729,4.86361421758e-05,1.0,0.654218204942,0.563651929698,0.82929486024,0.5,0.411032898961,0.000221703017818,0.00234305997045,9.79965111737e-05,0.000104090450266
Fbf1,0.0215778604245,0.00389927588486,1.0,1.0,1.0,1.0,0.5,0.5,0.00957238471667,0.101165386345,0.00423115713569,0.00449427276671
Rbbp4,0.00284246286223,0.254898715413,1.0,1.0,1.0,1.0,0.5,0.5,0.30285355524,1.0,0.133866431328,0.142190950939
Hivep3,0.0351195001252,2.18781980046e-07,0.00477688575232,0.00476549509988,0.00428286760619,0.00429206488454,0.00429206488454,0.00369107078535,2.15466204435e-06,2.27714644376e-05,9.52397333975e-07,1.01162241531e-06
Camta1,-0.00576537930353,0.0567187308278,1.0,1.0,1.0,1.0,0.5,0.5,0.0903758194879,0.955133434911,0.039947652005,0.0424318073621
0610037L13Rik,-0.0173398469713,0.00010575391161,1.0,0.900654639461,0.825138789244,1.0,0.5,0.5,0.000431326056072,0.00455845313311,0.000190653465565,0.000202509301992
Chd5,0.00175500765193,0.471233288836,1.0,1.0,1.0,1.0,0.5,0.5,0.480813059106,1.0,0.212527564048,0.225743647103
Ptprf,-0.00983025950572,0.0416286441656,1.0,1.0,1.0,1.0,0.5,0.5,0.069749769835,0.737147808166,0.0308305866391,0.0327477948632
Oog2,-0.000367502658556,0.258001467722,1.0,1.0,1.0,1.0,0.5,0.5,0.305654044831,1.0,0.135104295441,0.143505791961
Gm13023,-0.0417588964139,2.18265193132e-08,0.000476560222683,0.000476446689906,0.000442434779653,0.000442532679074,0.000442489026036,0.00040230640398,3.03237266192e-07,3.20475159497e-06,1.34036038106e-07,1.4237110476e-07
Gm13152,0.0596212218034,0.0169288545467,1.0,1.0,1.0,1.0,0.5,0.5,0.0328263419337,0.346923954929,0.0145098024184,0.0154120983381
Zcchc11,-0.0211966034909,0.0100653486474,1.0,1.0,1.0,1.0,0.5,0.5,0.0212996157569,0.225104184675,0.00941479305989,0.0100002544685
Tmem201,-0.01138764088,0.00430680467964,1.0,1.0,1.0,1.0,0.5,0.5,0.0104131745867,0.110051242331,0.00460280058332,0.00488902696091
Csf3r,-0.0181560510016,0.00634617010714,1.0,1.0,1.0,1.0,0.5,0.5,0.0144098341012,0.152289787463,0.00636939218243,0.00676547452812
Osbpl9,-0.00154737191342,0.351929781153,1.0,1.0,1.0,1.0,0.5,0.5,0.388721745414,1.0,0.171821634377,0.182506408377
Prdm16,-0.0309939788394,6.0347702759e-08,0.00131763174204,0.00131676408542,0.00120731096257,0.00120804031383,0.00120791961842,0.00107539606317,7.24371490951e-07,7.65549274379e-06,3.20184540587e-07,3.4009530134e-07
Cyp4a12b,0.0458501358468,0.00149573922727,1.0,1.0,0.999999999309,1.0,0.5,0.5,0.00421162532559,0.0445104031873,0.0018616101501,0.00197737487205
Nipal3,-0.0693253699754,2.35903518946e-12,5.15071743268e-08,5.15064457751e-08,5.088602828e-08,5.08867480719e-08,5.08867480719e-08,4.99242617146e-08,1.94422246483e-10,2.05474416895e-09,8.59379454434e-11,9.12820194211e-11
A330049M08Rik,0.0143171320127,0.0259582399054,1.0,1.0,1.0,1.0,0.5,0.5,0.0470307996694,0.497043230029,0.0207884147481,0.0220811478442
1700024P16Rik,0.0233902875197,0.00839527316668,1.0,1.0,1.0,1.0,0.5,0.5,0.018305580118,0.193461832105,0.00809137829616,0.008594542806
Dmrta2,0.0079939586883,0.102003982397,1.0,1.0,1.0,1.0,0.5,0.5,0.145908919369,1.0,0.064494228306,0.0685048190342
Sec14l1,-0.0214517683174,5.20850587302e-07,0.0113722517231,0.0113078350272,0.0100221720669,0.0100727295078,0.0100716878067,0.00841902889315,4.53834309541e-06,4.7963307598e-05,2.00602497086e-06,2.13077016683e-06
BC059842,0.00522391737288,0.0821958481441,1.0,1.0,1.0,1.0,0.5,0.5,0.122770840633,1.0,0.0542668032863,0.0576413988714
Mpl,-0.00124633684555,0.30670632956,1.0,1.0,1.0,1.0,0.5,0.5,0.349539657527,1.0,0.15450248396,0.164110261988
1810019J16Rik,0.00551487652585,0.222132341539,1.0,1.0,1.0,1.0,0.5,0.5,0.272054255537,1.0,0.120252616112,0.127730557005
Fam159a,0.0387473154861,1.33268016056e-05,0.290977386257,0.252468867065,0.211496517503,0.237616872628,0.237590219025,0.156096827207,7.25764043239e-05,0.000767020988005,3.20800072424e-05,3.40749110188e-05
Gm884,-0.0165230958633,0.0666589160001,1.0,1.0,1.0,1.0,0.5,0.5,0.103307919567,1.0,0.0456638605727,0.0485034798788
Dmrtb1,0.0134596485764,0.0618222532245,1.0,1.0,1.0,1.0,0.5,0.5,0.0970591854389,1.0,0.0429018136242,0.0455696743067
Gm13242,-0.0452414681568,0.0048872960068,1.0,1.0,1.0,1.0,0.5,0.5,0.0115857533044,0.122443596223,0.00512110035454,0.00543955734116
Cnksr1,0.00944086864397,0.0337492594743,1.0,1.0,1.0,1.0,0.5,0.5,0.0585253743173,0.618523208065,0.025869212583,0.0274778964428
Pdik1l,0.00757134702917,0.236719940659,1.0,1.0,1.0,1.0,0.5,0.5,0.285608465182,1.0,0.126243807707,0.134094312442
Trim63,0.0297920744385,0.000499206272088,1.0,0.999981585851,0.999500172982,1.0,0.5,0.5,0.00164482676311,0.0173832895235,0.000727041453273,0.000772252719275
B930041F14Rik,-0.0274480635129,0.000238749335601,1.0,0.994557274732,0.977240032112,1.0,0.5,0.5,0.000869365072293,0.00918785193203,0.00038427417389,0.000408170365524
Tbkbp1,-0.0259103497116,0.000665569547291,1.0,0.999999513916,0.999952031547,1.0,0.5,0.5,0.00210237899181,0.0222189129715,0.000929287333974,0.000987075313819
Kctd2,0.0149866614653,0.023723172075,1.0,1.0,1.0,1.0,0.5,0.5,0.0436528597028,0.461343599072,0.0192953077307,0.0204951915701
Slc16a5,-0.0528354918498,0.0132778497203,1.0,1.0,1.0,1.0,0.5,0.5,0.0268259989631,0.283509556867,0.0118575485936,0.0125949134043
Dmd,0.0455200852852,7.07271469422e-13,1.54425652634e-08,1.5443692214e-08,1.53128374425e-08,1.53117200415e-08,1.53117200415e-08,1.50861004428e-08,8.23877883861e-11,8.70712229906e-10,3.64168061608e-11,3.86813949306e-11
1110005A03Rik,-0.00417082548961,0.427463288709,1.0,1.0,1.0,1.0,0.5,0.5,0.448091492457,1.0,0.198064074091,0.210380741179
Guca2b,0.00682281281649,0.476979576871,1.0,1.0,1.0,1.0,0.5,0.5,0.48447967174,1.0,0.214148269303,0.227465136345
4932438A13Rik,0.0198391172218,0.00347623338289,1.0,1.0,1.0,1.0,0.5,0.5,0.00866241493747,0.0915484051014,0.00382893498954,0.0040670383295
Obscn,0.000497900492652,0.459760353301,1.0,1.0,1.0,1.0,0.5,0.5,0.472218114845,1.0,0.208728452247,0.221708286525
Qrich2,-0.00200797364203,0.406811734596,1.0,1.0,1.0,1.0,0.5,0.5,0.432652256323,1.0,0.191239668672,0.203131958295
Klhl15,0.00288575983102,0.229352597661,1.0,1.0,1.0,1.0,0.5,0.5,0.278793746687,1.0,0.123231586025,0.130894774954
Sh3pxd2b,-0.0350318875126,7.63784433011e-05,1.0,0.81132147167,0.721101422757,1.0,0.5,0.5,0.000325383745283,0.00343880582281,0.000143825159189,0.000152768964938
Arhgap27,-0.0136414469221,0.00907900388263,1.0,1.0,1.0,1.0,0.5,0.5,0.0195407636329,0.206515822431,0.00863735045437,0.00917446638797
Tbc1d16,0.00697241789613,0.0969484444785,1.0,1.0,1.0,1.0,0.5,0.5,0.140364290547,1.0,0.0620434078993,0.0659015937092
Myom3,0.00511121349841,0.450223105947,1.0,1.0,1.0,1.0,0.5,0.5,0.465247257903,1.0,0.205647214712,0.218435441415
Med14,-0.00975997005886,0.00449118600933,1.0,1.0,1.0,1.0,0.5,0.5,0.01080115356,0.114151583457,0.00477429389976,0.0050711846348
Stra13,-0.0315090523099,9.64991588542e-08,0.00210696263442,0.00210474464887,0.00191540864034,0.00191724528812,0.00191714878896,0.00168796328668,1.06877567925e-06,1.12953154002e-05,4.72417059651e-07,5.01794440063e-07
Suv39h1,-0.0269040195211,0.000427668902613,1.0,0.999912135976,0.998599218676,1.0,0.5,0.5,0.00144098671691,0.0152290136939,0.000636940679896,0.000676549005359
Taf4a,0.0219875367123,3.35687476735e-08,0.000732940036703,0.000732671513992,0.000676617661603,0.000676846659341,0.000676846659341,0.000609574889003,4.37902793663e-07,4.62795913596e-06,1.93560495633e-07,2.05597106497e-07
Dnaic2,0.0182850585474,0.00755513934071,1.0,1.0,1.0,1.0,0.5,0.5,0.0167541742292,0.177065857564,0.00740563046103,0.00786615155948
2310003H01Rik,-0.020248170805,0.00123705296939,1.0,0.999999999998,0.999999979686,1.0,0.5,0.5,0.00358140136698,0.0378499050832,0.00158304042286,0.00168148221229
Trim45,0.00557281775862,0.229355230902,1.0,1.0,1.0,1.0,0.5,0.5,0.278793746687,1.0,0.123231586025,0.130894774954
Stx16,-0.00538673250022,0.0330228185268,1.0,1.0,1.0,1.0,0.5,0.5,0.057429523533,0.606941750439,0.0253848278656,0.0269633901331
Ttc39a,-0.0591108634938,1.71688114902e-05,0.374863830078,0.312619338718,0.261793893886,0.30352961142,0.303493080713,0.192084662953,9.01063532556e-05,0.000952285591211,3.98285433393e-05,4.23052918923e-05
